지점,지점명,일시,기온(°C),기온 QC플래그,강수량(mm),강수량 QC플래그,풍속(m/s),풍속 QC플래그,풍향(16방위),풍향 QC플래그,습도(%),습도 QC플래그,증기압(hPa),이슬점온도(°C),현지기압(hPa),현지기압 QC플래그,해면기압(hPa),해면기압 QC플래그,일조(hr),일조 QC플래그,일사(MJ/m2),일사 QC플래그,적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),지면온도 QC플래그,5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
108,서울,2025-01-01 10:00,1.2,,,,1.6,,50,,66,,4.4,-4.4,1011.7,,1022.5,,0,,0.37,,,,9,9,Sc,15,3018,,,-0.5,,-0.3,-0.3,0.9,1.7
108,서울,2025-01-01 11:00,3.1,,,,1.6,,50,,60,,4.6,-3.9,1011.7,,1022.4,,0.4,,0.93,,,,2,2,Sc,15,2649,,,0,,-0.3,-0.3,0.9,1.7
108,서울,2025-01-01 12:00,6.7,,,,2.1,,180,,55,,5.4,-1.7,1011,,1021.6,,1,,1.7,,,,2,2,Sc,12,2490,,,2.5,,-0.3,-0.3,0.9,1.7
108,서울,2025-01-01 13:00,7.8,,,,3.3,,250,,51,,5.4,-1.7,1010.3,,1020.8,,0.9,,1.73,,,,5,5,Sc,11,2154,,,4.6,,-0.3,-0.3,0.9,1.7
108,서울,2025-01-01 14:00,7.7,,,,3.9,,250,,54,,5.7,-1,1009.8,,1020.3,,0.3,,0.81,,,,3,3,Sc,11,1540,,,3.5,,-0.2,-0.3,0.9,1.7
108,서울,2025-01-01 15:00,8.5,,,,4.7,,250,,52,,5.8,-0.8,1009.5,,1020,,1,,1.36,,,,3,3,Sc,11,1399,,,4.3,,-0.2,-0.3,0.9,1.7
108,서울,2025-01-01 16:00,8.4,,,,4.2,,250,,50,,5.5,-1.4,1009.8,,1020.3,,1,,1.08,,,,1,1,Sc,13,1491,,,3.4,,-0.1,-0.3,0.9,1.7
108,서울,2025-01-01 17:00,7.1,,,,2.4,,250,,53,,5.4,-1.8,1010.1,,1020.7,,1,,0.41,,,,0,0,,,1488,,,0.4,,-0.2,-0.2,0.9,1.7
108,서울,2025-01-01 18:00,5.6,,,,2.9,,250,,59,,5.4,-1.7,1010.4,,1021,,0,,0.03,,,,0,0,,,1401,,,-0.2,,-0.2,-0.2,0.9,1.7
108,서울,2025-01-01 19:00,4.7,,,,1.7,,270,,64,,5.5,-1.5,1010.8,,1021.5,,,9,,9,,,0,0,,,1323,,,-0.2,,-0.2,-0.3,0.9,1.7
108,서울,2025-01-01 20:00,3.8,,,,2.2,,270,,73,,5.8,-0.6,1011.2,,1021.9,,,9,,9,,,0,0,,,1196,,,-0.3,,-0.2,-0.3,0.9,1.7
108,서울,2025-01-01 21:00,3.3,,,,1,,290,,74,,5.8,-0.8,1011.6,,1022.3,,,9,,9,,,0,0,,,1158,,,-0.4,,-0.2,-0.3,0.9,1.7
108,서울,2025-01-01 22:00,3,,,,2,,320,,72,,5.5,-1.5,1012,,1022.7,,,9,,9,,,0,0,,,1284,,,-0.5,,-0.2,-0.2,0.9,1.7
108,서울,2025-01-01 23:00,1.9,,,,1.2,,270,,71,,5,-2.8,1012.1,,1022.9,,,9,,9,,,0,0,,,1316,,,-0.7,,-0.2,-0.2,0.9,1.7
108,서울,2025-01-02 0:00,0.7,,,,1.5,,270,,72,,4.6,-3.7,1012.3,,1023.1,,,9,,9,,,0,0,,,1242,,,-0.9,,-0.2,-0.3,0.9,1.7
108,서울,2025-01-02 1:00,0.4,,,,1.4,,320,,74,,4.6,-3.7,1012.3,,1023.2,,,9,,9,,,0,0,,,1282,,,-1.3,,-0.2,-0.3,0.9,1.7
108,서울,2025-01-02 2:00,-0.7,,,,1.2,,270,,75,,4.4,-4.5,1012.6,,1023.5,,,9,,9,,,0,0,,,1409,,,-1.9,,-0.2,-0.3,0.8,1.7
108,서울,2025-01-02 3:00,-1.4,,,,1.6,,270,,70,,3.9,-6.1,1013,,1023.9,,,9,,9,,,0,0,,,1874,,,-2.4,,-0.2,-0.3,0.8,1.6
108,서울,2025-01-02 4:00,-1.5,,,,2,,250,,72,,4,-5.8,1013.3,,1024.2,,,9,,9,,,0,0,,,1784,,,-2.9,,-0.2,-0.3,0.8,1.6
108,서울,2025-01-02 5:00,-2.3,,,,1.1,,270,,73,,3.8,-6.4,1013.3,,1024.3,,,9,,9,,,0,0,,,1739,,,-3.4,,-0.2,-0.3,0.8,1.6
108,서울,2025-01-02 6:00,-2.5,,,,0.9,,270,,74,,3.8,-6.5,1013.3,,1024.3,,,9,,9,,,0,0,,,1876,,,-3.8,,-0.3,-0.3,0.8,1.6
108,서울,2025-01-02 7:00,-2.5,,,,2.8,,270,,74,,3.8,-6.5,1013.7,,1024.7,,,9,,9,,,0,0,,,2003,,,-4,,-0.3,-0.3,0.8,1.6
108,서울,2025-01-02 8:00,-2.8,,,,0.8,,270,,67,,3.3,-8,1014.2,,1025.2,,0,,0,,,,2,0,Ci,,2076,,,-4.1,,-0.3,-0.3,0.8,1.6
108,서울,2025-01-02 9:00,-2.3,,,,0.8,,290,,66,,3.4,-7.8,1014.6,,1025.6,,0.9,,0.31,,,,6,0,Ci,,2005,,,-2.8,,-0.3,-0.3,0.8,1.6
108,서울,2025-01-02 10:00,-0.3,,,,1.7,,270,,56,,3.3,-8,1015,,1025.9,,1,,0.69,,,,3,0,Ci,,2416,,,-1,,-0.2,-0.3,0.7,1.6
108,서울,2025-01-02 11:00,1.9,,,,2.4,,290,,41,,2.9,-9.9,1014.6,,1025.4,,1,,1.33,,,,0,0,,,3200,,,-0.3,,-0.2,-0.1,0.6,1.6
108,서울,2025-01-02 12:00,3.5,,,,2.8,,270,,39,,3.1,-9.1,1013.9,,1024.6,,1,,1.79,,,,0,0,,,3201,,,1.5,,-0.3,-0.3,0.7,1.5
108,서울,2025-01-02 13:00,4.8,,,,3.6,,290,,29,,2.5,-11.7,1013,,1023.7,,1,,1.97,,,,0,0,,,3356,,,4.1,,-0.2,-0.3,0.7,1.5
108,서울,2025-01-02 14:00,5.2,,,,3.3,,290,,25,,2.2,-13.2,1012.7,,1023.4,,1,,1.9,,,,0,0,,,4422,,,5.2,,-0.2,-0.3,0.7,1.4
108,서울,2025-01-02 15:00,5.9,,,,2.1,,290,,27,,2.5,-11.7,1012.8,,1023.4,,1,,1.56,,,,0,0,,,3915,,,3.8,,-0.1,-0.3,0.6,1.4
108,서울,2025-01-02 16:00,5.4,,,,3.2,,270,,26,,2.3,-12.6,1013,,1023.7,,1,,1.01,,,,0,0,,,4105,,,0.7,,-0.1,-0.3,0.6,1.4
108,서울,2025-01-02 17:00,4.1,,,,2.6,,290,,28,,2.3,-12.8,1013.1,,1023.8,,1,,0.45,,,,0,0,,,4468,,,-0.2,,-0.2,-0.3,0.6,1.4
108,서울,2025-01-02 18:00,2.7,,,,2,,270,,31,,2.3,-12.7,1013.6,,1024.4,,0.1,,0.02,,,,0,0,,,4213,,,-0.3,,-0.2,-0.3,0.8,1.5
108,서울,2025-01-02 19:00,1.8,,,,2,,290,,32,,2.2,-13.1,1014,,1024.8,,,9,,9,,,0,0,,,4017,,,-0.6,,-0.2,-0.3,0.9,1.7
108,서울,2025-01-02 20:00,1,,,,1.7,,340,,34,,2.2,-13.1,1014.2,,1025,,,9,,9,,,0,0,,,3590,,,-1,,-0.3,-0.2,0.9,1.7
108,서울,2025-01-02 21:00,0,,,,0.4,,0,,37,,2.3,-12.9,1014.1,,1025,,,9,,9,,,0,0,,,3498,,,-1.5,,-0.2,-0.2,0.9,1.7
108,서울,2025-01-02 22:00,-0.2,,,,2.6,,270,,40,,2.4,-12.2,1014.2,,1025.1,,,9,,9,,,0,0,,,3367,,,-2.2,,-0.2,-0.2,0.9,1.7
108,서울,2025-01-02 23:00,-0.8,,,,3.2,,320,,45,,2.6,-11.2,1014.6,,1025.5,,,9,,9,,,0,0,,,2710,,,-2.8,,-0.2,-0.2,0.9,1.7
108,서울,2025-01-03 0:00,-2,,,,3.2,,270,,46,,2.4,-12.1,1015,,1026,,,9,,9,,,0,0,,,3758,,,-3.5,,-0.2,-0.3,0.9,1.7
108,서울,2025-01-03 1:00,-2.8,,,,2.3,,290,,48,,2.4,-12.3,1015.1,,1026.1,,,9,,9,,,0,0,,,3509,,,-4.1,,-0.2,-0.3,0.9,1.7
108,서울,2025-01-03 2:00,-3.5,,,,2,,320,,49,,2.3,-12.6,1015.2,,1026.2,,,9,,9,,,0,0,,,3285,,,-4.6,,-0.2,-0.3,0.9,1.7
108,서울,2025-01-03 3:00,-3.7,,,,2.7,,320,,49,,2.3,-12.8,1015.2,,1026.3,,,9,,9,,,0,0,,,3370,,,-4.9,,-0.2,-0.3,0.9,1.7
108,서울,2025-01-03 4:00,-4.5,,,,1.3,,270,,51,,2.2,-13.1,1015,,1026.1,,,9,,9,,,0,0,,,3333,,,-5.2,,-0.2,-0.3,0.9,1.7
108,서울,2025-01-03 5:00,-4.8,,,,1,,270,,52,,2.2,-13.1,1014.6,,1025.7,,,9,,9,,,0,0,,,3128,,,-5.5,,-0.2,-0.3,0.9,1.7
108,서울,2025-01-03 6:00,-5.1,,,,1.3,,270,,55,,2.3,-12.7,1014.9,,1026,,,9,,9,,,0,0,,,3165,,,-5.7,,-0.3,-0.4,0.9,1.7
108,서울,2025-01-03 7:00,-4.9,,,,1.8,,320,,57,,2.4,-12.1,1015.3,,1026.4,,,9,,9,,,0,0,,,3153,,,-5.8,,-0.3,-0.4,0.9,1.7
108,서울,2025-01-03 8:00,-4.7,,,,1.5,,290,,54,,2.3,-12.6,1016.1,,1027.2,,0,,0,,,,0,0,,,3228,,,-5.7,,-0.3,-0.4,0.9,1.7
108,서울,2025-01-03 9:00,-4.1,,,,2.2,,290,,50,,2.3,-13,1016.2,,1027.3,,1,,0.32,,,,0,0,,,3052,,,-4.9,,-0.4,-0.5,0.9,1.7
108,서울,2025-01-03 10:00,-2.6,,,,2.4,,290,,40,,2,-14.3,1016.4,,1027.4,,1,,0.89,,,,0,0,,,3323,,,-1.7,,-0.4,-0.5,0.9,1.7
108,서울,2025-01-03 11:00,-0.1,,,,1,,180,,36,,2.2,-13.4,1016.1,,1027,,1,,1.45,,,,2,0,Ci,,3781,,,-0.3,,-0.2,-0.5,0.9,1.7
108,서울,2025-01-03 12:00,1.9,,,,2.4,,200,,30,,2.1,-13.8,1015.2,,1026,,1,,1.7,,,,1,1,Sc,12,4014,,,1.2,,-0.2,-0.4,0.9,1.7
108,서울,2025-01-03 13:00,2.3,,,,2.4,,270,,29,,2.1,-13.9,1014.4,,1025.2,,1,,1.75,,,,7,5,ScCi,10,4168,,,3.3,,-0.1,-0.4,0.9,1.7
108,서울,2025-01-03 14:00,2.7,,,,2.6,,250,,34,,2.5,-11.6,1014.2,,1025,,0.9,,1.69,,,,8,8,Sc,10,4477,,,3.5,,-0.1,-0.4,0.8,1.7
108,서울,2025-01-03 15:00,2.2,,,,2.7,,270,,38,,2.7,-10.6,1013.9,,1024.7,,0.1,,0.73,,,,7,7,Sc,10,4152,,,1.2,,-0.1,-0.3,0.9,1.7
108,서울,2025-01-03 16:00,3.1,,,,3.5,,250,,39,,3,-9.5,1013.8,,1024.6,,0.6,,0.85,,,,2,2,Sc,12,3688,,,1,,-0.1,-0.3,0.9,1.7
108,서울,2025-01-03 17:00,2.1,,,,2.9,,200,,44,,3.1,-8.9,1013.7,,1024.5,,1,,0.49,,,,0,0,,,4567,,,-0.2,,-0.1,-0.3,0.9,1.7
108,서울,2025-01-03 18:00,1.2,,,,2.5,,230,,63,,4.2,-5,1014,,1024.8,,0.1,,0.03,,,,8,8,Sc,10,3377,,,-0.3,,-0.1,-0.3,0.8,1.7
108,서울,2025-01-03 19:00,0.9,,,,2.3,,270,,67,,4.4,-4.5,1014.3,,1025.2,,,9,,9,,,5,5,,8,2969,,,-0.4,,-0.1,-0.3,0.9,1.7
108,서울,2025-01-03 20:00,0.4,,,,1.9,,270,,66,,4.2,-5.2,1014.3,,1025.2,,,9,,9,,,6,6,,9,3254,,,-0.6,,-0.1,-0.3,0.9,1.7
108,서울,2025-01-03 21:00,0.5,,0,,1.5,,290,,70,,4.4,-4.3,1014.5,,1025.4,,,9,,9,,,9,9,Sc,8,2893,,5,-0.5,,-0.1,-0.3,0.9,1.7
108,서울,2025-01-03 22:00,0.4,,,9,3.2,,270,,71,,4.5,-4.2,1014.9,,1025.8,,,9,,9,,,2,2,Sc,11,2864,,5,-0.8,,-0.1,-0.3,0.9,1.7
108,서울,2025-01-03 23:00,-0.7,,,9,4.2,,290,,70,,4.1,-5.5,1015.1,,1026,,,9,,9,,,0,0,,,2220,,,-1.6,,-0.1,-0.3,0.8,1.7
108,서울,2025-01-04 0:00,-1.9,,0,,3.6,,320,,61,,3.2,-8.4,1015.4,,1026.4,,,9,,9,,,0,0,,,2150,,,-2.5,,-0.1,-0.3,0.8,1.7
108,서울,2025-01-04 1:00,-2.6,,,,2.5,,270,,58,,2.9,-9.7,1015.4,,1026.4,,,9,,9,,,0,0,,,2407,,,-3,,-0.2,-0.3,0.8,1.7
108,서울,2025-01-04 2:00,-3,,,,3.1,,270,,58,,2.8,-10.1,1015.7,,1026.7,,,9,,9,,,0,0,,,2478,,,-3.9,,-0.2,-0.3,0.8,1.7
108,서울,2025-01-04 3:00,-3.5,,,,1.9,,340,,61,,2.9,-9.9,1016,,1027.1,,,9,,9,,,0,0,,,2384,,,-4.4,,-0.2,-0.3,0.8,1.7
108,서울,2025-01-04 4:00,-4.2,,,,1.5,,340,,62,,2.8,-10.4,1015.7,,1026.8,,,9,,9,,,0,0,,,2294,,,-5,,-0.2,-0.4,0.8,1.7
108,서울,2025-01-04 5:00,-4.3,,,,0.9,,290,,59,,2.6,-11.1,1015.5,,1026.6,,,9,,9,,,0,0,,,2425,,,-5.3,,-0.3,-0.4,0.8,1.7
108,서울,2025-01-04 6:00,-4.9,,,,1,,270,,60,,2.6,-11.4,1015.8,,1026.9,,,9,,9,,,0,0,,,2554,,,-5.6,,-0.3,-0.5,0.8,1.7
108,서울,2025-01-04 7:00,-5.1,,,,0.5,,360,,63,,2.6,-11,1016,,1027.1,,,9,,9,,,0,0,,,2539,,,-5.8,,-0.4,-0.5,0.8,1.7
108,서울,2025-01-04 8:00,-5.4,,,,1.8,,20,,61,,2.5,-11.7,1016.1,,1027.2,,0,,0,,,,0,0,,,2620,,,-5.8,,-0.4,-0.6,0.8,1.6
108,서울,2025-01-04 9:00,-4.7,,,,1.4,,50,,66,,2.9,-10,1016.5,,1027.6,,1,,0.31,,,,0,0,,,2208,,,-4.8,,-0.5,-0.6,0.8,1.6
108,서울,2025-01-04 10:00,-1.7,,,,2.3,,50,,63,,3.4,-7.8,1016.4,,1027.4,,1,,0.89,,,,0,0,,,1796,,,-1.5,,-0.4,-0.6,0.8,1.6
108,서울,2025-01-04 11:00,0.7,,,,0.8,,50,,47,,3,-9.3,1016.7,,1027.6,,1,,1.44,,,,0,0,,,2330,,,-0.1,,-0.4,-0.6,0.8,1.6
108,서울,2025-01-04 12:00,3.3,,,,1.7,,160,,41,,3.2,-8.7,1016.1,,1026.9,,1,,1.76,,,,0,0,,,2477,,,2.5,,-0.3,-0.6,0.4,1.3
108,서울,2025-01-04 13:00,3.7,,,,2.2,,290,,31,,2.5,-11.9,1015.5,,1026.3,,1,,1.97,,,,0,0,,,3438,,,5.7,,-0.3,-0.5,0.5,1.3
108,서울,2025-01-04 14:00,5.1,,,,2.7,,230,,29,,2.5,-11.5,1015.1,,1025.8,,1,,1.91,,,,0,0,,,4453,,,6.3,,-0.3,-0.5,0.4,1.3
108,서울,2025-01-04 15:00,5.5,,,,1.5,,250,,26,,2.3,-12.5,1015.1,,1025.8,,1,,1.59,,,,0,0,,,4217,,,4.1,,-0.2,-0.4,0.5,1.3
108,서울,2025-01-04 16:00,4.8,,,,2.5,,270,,29,,2.5,-11.7,1014.9,,1025.6,,0.8,,0.93,,,,4,4,Sc,14,3881,,,0.8,,-0.2,-0.4,0.5,1.3
108,서울,2025-01-04 17:00,3.6,,,,1.8,,270,,36,,2.8,-10.1,1014.9,,1025.6,,0.1,,0.21,,,,7,7,Sc,14,3524,,,-0.2,,-0.1,-0.4,0.5,1.3
108,서울,2025-01-04 18:00,3,,,,1.8,,290,,39,,3,-9.6,1015,,1025.8,,0,,0.02,,,,7,7,Sc,9,3719,,,-0.2,,-0.1,-0.4,0.5,1.3
108,서울,2025-01-04 19:00,2.4,,,,2.1,,200,,38,,2.8,-10.5,1015.1,,1025.9,,,9,,9,,,4,4,,11,3729,,,-0.3,,-0.1,-0.4,0.5,1.4
108,서울,2025-01-04 20:00,1.3,,,,1,,180,,45,,3,-9.3,1014.6,,1025.4,,,9,,9,,,0,0,,,3257,,,-0.6,,-0.2,-0.4,0.5,1.3
108,서울,2025-01-04 21:00,0.8,,,,1.7,,160,,48,,3.1,-8.9,1014.3,,1025.2,,,9,,9,,,0,0,,,3316,,,-1,,-0.2,-0.4,0.6,1.4
108,서울,2025-01-04 22:00,0.4,,,,1.7,,20,,50,,3.1,-8.8,1014.5,,1025.4,,,9,,9,,,0,0,,,3172,,,-1.5,,-0.2,-0.4,0.5,1.3
108,서울,2025-01-04 23:00,0,,,,1.3,,50,,52,,3.2,-8.7,1014.2,,1025.1,,,9,,9,,,4,4,,8,3042,,,-2,,-0.2,-0.4,0.5,1.4
108,서울,2025-01-05 0:00,-0.3,,,,2.1,,50,,56,,3.3,-8,1013.3,,1024.2,,,9,,9,,,4,4,Sc,13,3020,,,-1.8,,-0.2,-0.4,0.5,1.3
108,서울,2025-01-05 1:00,-0.6,,,,2.3,,50,,57,,3.3,-8,1012.3,,1023.2,,,9,,9,,,6,2,,66,2951,,,-2.6,,-0.2,-0.4,0.5,1.3
108,서울,2025-01-05 2:00,-0.6,,,,1.8,,50,,60,,3.5,-7.4,1012,,1022.9,,,9,,9,,,9,6,,28,2950,,,-2.4,,-0.2,-0.4,0.8,1.6
108,서울,2025-01-05 3:00,0.1,,0,,2.2,,50,,61,,3.8,-6.5,1012,,1022.9,,,9,,9,,,10,9,ScAs,8,2186,,5,-1.4,,-0.2,-0.4,0.8,1.6
108,서울,2025-01-05 4:00,0.6,,,9,2.7,,50,,62,,4,-5.8,1011.2,,1022,,,9,,9,,,10,7,ScAs,10,2949,,5,-1.3,,-0.2,-0.4,0.8,1.6
108,서울,2025-01-05 5:00,0.7,,,9,2.3,,50,,60,,3.9,-6.1,1010.4,,1021.2,,,9,,9,,,10,7,ScAs,9,2919,,,-1.3,,-0.2,-0.4,0.8,1.6
108,서울,2025-01-05 6:00,0.5,,0.3,,2.6,,50,,72,,4.6,-3.9,1010.1,,1020.9,,,9,,9,0.2,0.2,10,9,ScAs,6,310,,5,-1,,-0.2,-0.3,0.8,1.6
108,서울,2025-01-05 7:00,-0.2,,,9,2.5,,50,,87,,5.2,-2.1,1010.2,,1021.1,,,9,,9,0.7,,10,9,ScAs,5,209,,5,-1,,-0.2,-0.3,0.8,1.6
108,서울,2025-01-05 8:00,-0.2,,,9,1.9,,70,,91,,5.5,-1.4,1010.4,,1021.3,,0,,0,,1.8,,10,9,StNs,2,80,,5,-0.8,,-0.2,-0.3,0.8,1.6
108,서울,2025-01-05 9:00,-0.3,,4.1,,2,,70,,92,,5.5,-1.4,1010.2,,1021.1,,0,,0.02,,5,4.8,10,7,StNs,7,189,,5,-0.8,,-0.2,-0.3,0.8,1.6
108,서울,2025-01-05 10:00,-0.1,,,9,2.6,,50,,93,,5.6,-1.1,1009.8,,1020.6,,0,,0.04,,5.3,,10,8,StNs,7,193,,5,-0.7,,-0.2,-0.3,0.8,1.6
108,서울,2025-01-05 11:00,0.4,,,9,1.9,,50,,94,,5.9,-0.4,1009.8,,1020.6,,0,,0.07,,5.7,,10,6,StNs,7,268,,5,-0.6,,-0.1,-0.3,0.7,1.6
108,서울,2025-01-05 12:00,0.6,,1.3,,2.3,,50,,93,,5.9,-0.4,1009,,1019.8,,0,,0.07,,5.9,0.9,10,8,StNs,6,154,,5,-0.5,,-0.1,-0.3,0.8,1.6
108,서울,2025-01-05 13:00,0.8,,,9,1.8,,70,,93,,6,-0.2,1008.2,,1019,,0,,0.05,,6.4,,10,7,StNs,7,220,,5,-0.5,,-0.1,-0.3,0.7,1.6
108,서울,2025-01-05 14:00,1.2,,,9,2.6,,50,,93,,6.2,0.1,1007.4,,1018.2,,0,,0.08,,6.3,,10,6,ScAs,9,285,,1905,-0.5,,-0.1,-0.3,0.7,1.6
108,서울,2025-01-05 15:00,1.8,,1,,3.1,,50,,91,,6.3,0.4,1006.7,,1017.4,,0,,0.33,,5.9,0.5,9,9,Sc,10,364,,19,-0.4,,-0.1,-0.3,0.7,1.5
108,서울,2025-01-05 16:00,1.8,,,9,2.9,,50,,91,,6.3,0.4,1006.7,,1017.4,,0,,0.27,,5.4,,9,9,Sc,10,388,,19,-0.4,,-0.1,-0.3,0.7,1.5
108,서울,2025-01-05 17:00,1.9,,,9,2.8,,50,,90,,6.3,0.4,1006.9,,1017.6,,0,,0.09,,5.2,,9,9,Sc,8,432,,19,-0.4,,-0.1,-0.3,0.7,1.5
108,서울,2025-01-05 18:00,1.9,,,9,2.8,,50,,90,,6.3,0.4,1006.7,,1017.4,,0,,0.01,,5,,9,9,St,3,512,,19,-0.4,,-0.1,-0.3,0.7,1.5
108,서울,2025-01-05 19:00,2.1,,,9,2.7,,50,,90,,6.4,0.6,1007,,1017.7,,,9,,9,4.8,,7,7,,2,544,,19,-0.4,,-0.1,-0.3,0.7,1.5
108,서울,2025-01-05 20:00,2.2,,,9,2.8,,50,,90,,6.4,0.7,1006.9,,1017.6,,,9,,9,4.6,,9,9,,2,549,,19,-0.4,,-0.1,-0.3,0.7,1.5
108,서울,2025-01-05 21:00,2.2,,,9,2.6,,50,,90,,6.4,0.7,1006.7,,1017.4,,,9,,9,4.4,,9,9,St,3,558,,19,-0.2,,-0.1,-0.3,0.7,1.5
108,서울,2025-01-05 22:00,2.4,,,9,2.6,,50,,90,,6.5,0.9,1006.3,,1017,,,9,,9,4.2,,7,7,,2,512,,19,-0.2,,-0.1,-0.3,0.7,1.5
108,서울,2025-01-05 23:00,2.4,,,9,2.3,,70,,90,,6.5,0.9,1006.1,,1016.8,,,9,,9,4,,8,8,,2,430,,19,-0.2,,-0.1,-0.3,0.7,1.5
108,서울,2025-01-06 0:00,2.4,,,9,2.2,,50,,91,,6.6,1,1005.6,,1016.3,,,9,,9,3.9,,8,8,St,3,406,,19,-0.2,,-0.1,-0.3,0.7,1.5
108,서울,2025-01-06 1:00,2.5,,,,2.3,,50,,90,,6.6,1,1004.6,,1015.3,,,9,,9,3.7,,7,7,,2,355,,19,-0.2,,-0.1,-0.3,0.7,1.5
108,서울,2025-01-06 2:00,2.9,,,,4.7,,340,,94,,7.1,2,1004.5,,1015.2,,,9,,9,3.5,,9,9,,2,285,,19,-0.2,,-0.1,-0.3,0.7,1.5
108,서울,2025-01-06 3:00,2.7,,1.2,,1,,250,,92,,6.8,1.5,1004.4,,1015.1,,,9,,9,2.9,,10,9,ScAs,6,386,,1901,-0.2,,-0.1,-0.3,0.7,1.5
108,서울,2025-01-06 4:00,2.4,,,9,0.6,,50,,93,,6.7,1.3,1003.7,,1014.4,,,9,,9,2.4,,10,9,StNs,4,207,,1901,-0.2,,-0.1,-0.3,0.7,1.5
108,서울,2025-01-06 5:00,2.3,,,9,2.4,,360,,94,,6.8,1.4,1003.3,,1014,,,9,,9,2.2,,10,7,ScAs,6,160,,1901,-0.2,,-0.1,-0.3,0.7,1.5
108,서울,2025-01-06 6:00,2.2,,1.8,,2.1,,360,,95,,6.8,1.4,1003.7,,1014.4,,,9,,9,2.2,,10,10,St,2,135,,19,-0.2,,-0.1,-0.3,0.7,1.5
108,서울,2025-01-06 7:00,2.2,,,9,0.3,,0,,94,,6.7,1.3,1004.1,,1014.8,,,9,,9,2.1,,9,9,St,3,189,,19,-0.2,,-0.1,-0.3,0.7,1.5
108,서울,2025-01-06 8:00,2.3,,,9,1.5,,250,,94,,6.8,1.4,1004.3,,1015,,0,,0,,2.1,,9,9,St,3,237,,19,-0.2,,-0.1,-0.3,0.7,1.5
108,서울,2025-01-06 9:00,2.5,,0,,2,,270,,95,,6.9,1.7,1004.5,,1015.2,,0,,0.03,,2,,10,10,St,3,183,,1901,-0.2,,-0.1,-0.3,0.7,1.5
108,서울,2025-01-06 10:00,2.1,,,9,3.6,,270,,92,,6.5,0.9,1005.1,,1015.8,,0,,0.12,,1.9,,10,10,St,3,237,,1906,-0.2,,-0.1,-0.3,0.5,1.3
108,서울,2025-01-06 11:00,2.3,,,9,3.1,,290,,85,,6.1,0,1005.2,,1015.9,,0,,0.46,,1.7,,7,7,Sc,5,329,,1906,-0.2,,-0.1,-0.4,0.4,1.2
